wav	band	I_nu	d I_nu
4.618	WISE-2	-0.029498825498303304	0.06296134746716985
5.731	IRAC-3	-0.021895896796214176	0.09261003645247556
8.0	IRAC-4	0.0945669403027658	0.06432683422100016
8.28	MSX-A	-0.002070033562435833	0.08408819838528513
12.082	WISE-3	0.6851390440688829	0.31848943910548455
12.13	MSX-C	0.9609215256059488	0.6954195130197484
14.65	MSX-D	1.775051999378707	2.201411884096327
21.34	MSX-E	8.355696759584438	4.34332885283835
22.194	WISE-4	11.507767646184986	2.676656325993333
23.68	MIPS-1	11.698295070689085	1.9124467262956983
65.0	AKARI-N60	20.060969912644588	3.9739663962161913
70.0	PACS-B	30.32694737708947	0.48971938311480173
71.42	MIPS-2	16.69329548379241	2.653582211926995
90.0	AKARI-WideS	11.290373782316848	2.77089097102483
140.0	AKARI-WideL	6.000251246221126	10.235102462046072
150.0	PACS-R	12.16404491081466	1.723832821432849
155.9	MIPS-3	4.16230160849436	0.712963444846018
250.0	SPIRE-250	6.269720833639862	1.3185322106799915
350.0	SPIRE-350	3.284600918275551	0.6985705143708827
500.0	SPIRE-500	1.3004000911125302	0.3522966808088896
