wav	band	I_nu	d I_nu
4.618	WISE-2	-0.012552514472011797	0.01677581006904106
5.731	IRAC-3	0.03450248625155039	0.04445719135670896
8.0	IRAC-4	0.07077723550465542	0.06210918121323388
8.28	MSX-A	0.5126440666971459	0.5514281840279619
12.082	WISE-3	0.016155739358627578	0.14730120491697843
12.13	MSX-C	-0.7585411691610097	1.845761205598346
14.65	MSX-D	-4.890140977561323	1.3884546949622032
21.34	MSX-E	5.0430292206957565	3.9770331181129714
22.194	WISE-4	0.21250832956530255	2.0717261620914327
23.68	MIPS-1	0.05730209381433582	1.8437399380811645
65.0	AKARI-N60	4.019025539358459	13.966316878487557
70.0	PACS-B	3.9238530788208594	7.708091236528678
71.42	MIPS-2	4.521406761972528	4.714928994494769
90.0	AKARI-WideS	8.453562331199642	6.418063486482538
140.0	AKARI-WideL	4.922946850458786	4.745717213220143
150.0	PACS-R	12.934309558396837	2.4406407856070667
155.9	MIPS-3	8.472360064887482	2.27060081073792
250.0	SPIRE-250	10.731655964106972	1.0417159102089315
350.0	SPIRE-350	6.010297869309903	0.5977702922887508
500.0	SPIRE-500	2.1561652305517707	0.23578026307737274
