wav	band	I_nu	d I_nu
4.618	WISE-2	-0.012294915755657932	0.02348965655021441
5.731	IRAC-3	-0.0009831952607213257	0.05888136784286869
8.0	IRAC-4	0.06572971624627844	0.12356933432465138
8.28	MSX-A	0.5068376499875488	0.12141374419249248
12.082	WISE-3	0.030472531109215533	0.07528825379169359
12.13	MSX-C	3.910503165905461	2.3750899900097333
14.65	MSX-D	1.7974498185757213	2.1852121671350706
21.34	MSX-E	-1.777467581284643	2.606784569640499
22.194	WISE-4	-0.01713777446623203	0.6039314683489031
23.68	MIPS-1	0.0964759396819801	0.4835812088757262
65.0	AKARI-N60	12.342120464209351	8.138111672646493
70.0	PACS-B	1.790815890507784	3.1568250094794483
71.42	MIPS-2	-0.8248404709157882	1.8845642348272025
90.0	AKARI-WideS	2.565296964934376	3.295837809033882
140.0	AKARI-WideL	19.478257676326862	9.062900684135672
150.0	PACS-R	8.996889350650237	1.0194582159225227
155.9	MIPS-3	5.71702872267916	2.992725082128111
250.0	SPIRE-250	7.327311625220596	0.8972112987252286
350.0	SPIRE-350	3.5857879491561704	0.5696547614661579
500.0	SPIRE-500	1.2502714202645657	0.19357034850500685
