wav	band	I_nu	d I_nu
4.618	WISE-2	0.005129090536806623	0.016657463125895913
5.731	IRAC-3	0.2242222941085803	0.04851829325226882
8.0	IRAC-4	0.5154650222238146	0.038320261304286445
12.082	WISE-3	0.23313221639667694	0.048232502174586925
22.194	WISE-4	0.309912195159214	0.4927090494643578
23.68	MIPS-1	0.33927676077006197	0.46041619680426055
65.0	AKARI-N60	-12.35218378596836	10.694885874479615
70.0	PACS-B	5.384989241985953	2.8006309688620075
71.42	MIPS-2	4.270795647950543	2.171024737031945
90.0	AKARI-WideS	-2.3268495538499607	4.4177102214602355
140.0	AKARI-WideL	16.850631639692523	6.130999231437733
155.9	MIPS-3	7.540869586583341	2.361713098381616
160.0	PACS-R	10.269918062167385	3.2673453694579373
250.0	SPIRE-250	4.989778811853136	2.4406942938355454
363.0	SPIRE-350	2.285138546441398	1.4254158108210533
517.0	SPIRE-500	0.7582616155329145	0.5024187337326147
