Wav, micron	sigma, cm^2/H	kappa, cm^2/g	albedo	g
29953355.5312221	5.61125428e-36	2.5805893561135603e-12	7.530816624196898e-17	2.29968001967837e-05
29853687.470518664	5.64908876e-36	2.597989254872397e-12	7.580775679702722e-17	2.2996801736974073e-05
29754350.431862213	5.6871785100000014e-36	2.6155065510992633e-12	7.63106503470734e-17	2.2996802056771335e-05
29655354.05956434	5.7255249600000005e-36	2.6331419024444065e-12	7.681687884862526e-17	2.2996804323073935e-05
29556669.404115513	5.76412993e-36	2.650896145917237e-12	7.732646558151059e-17	2.2952998726719025e-05
29458325.35234515	5.80299555e-36	2.6687702610947004e-12	7.783943108603626e-17	2.2952995298735295e-05
29360302.745928753	5.8421227599999995e-36	2.686764680278359e-12	7.835579745782335e-17	2.2952998066340105e-05
29262611.078401014	5.8815140800000004e-36	2.7048805624043185e-12	7.887560464836972e-17	2.295300093803455e-05
29165240.91704216	5.9211708499999997e-36	2.723118523732252e-12	7.939884689106719e-17	2.2952996305112443e-05
29068201.586703084	5.96109539e-36	2.7414796312192095e-12	7.992557278440062e-17	2.2898054242013862e-05
28971474.53369268	6.001288530000001e-36	2.759964266578273e-12	8.045577275675495e-17	2.289805281154135e-05
28875078.2429135	6.04175311e-36	2.7785737359120354e-12	8.098950405146561e-17	2.28980566864727e-05
28778994.363482486	6.082490799999999e-36	2.7973088072456147e-12	8.15267624368129e-17	2.2898053796988623e-05
28683232.071879175	6.1235025e-36	2.8161698944847632e-12	8.206760550905305e-17	2.2854253313747306e-05
28587791.320408016	6.1647911e-36	2.8351583267268377e-12	8.261203218933079e-17	2.2851420541420855e-05
28492672.04090948	6.206358100000002e-36	2.8542747938147586e-12	8.316006787684389e-17	2.285141645317795e-05
28397865.302572716	6.2482055e-36	2.8735202155390836e-12	8.371172160649966e-17	2.2851418499966153e-05
28303371.17357508	6.2903347e-36	2.8928952357532058e-12	8.426705128736632e-17	2.285141514297297e-05
28209198.42572877	6.3327482e-36	2.9124010041953233e-12	8.482605119099792e-17	2.2807614133149466e-05
28115329.575168744	6.3754478e-36	2.9320383486769403e-12	8.538879112475832e-17	2.2796474906085e-05
28021782.019417986	6.418435300000001e-36	2.9518080970095598e-12	8.595524021413753e-17	2.279647400662078e-05
27928538.46467147	6.461712300000001e-36	2.9717109850256288e-12	8.652543221633371e-17	2.279647379923944e-05
27835607.54113001	6.505281600000001e-36	2.99174830043193e-12	8.709943097404113e-17	2.2796471234069164e-05
27742989.191489596	6.549144300000002e-36	3.011920549113272e-12	8.76772277386528e-17	2.275266890939402e-05
27650674.955401156	6.593302800000001e-36	3.032228834818324e-12	8.825885513292365e-17	2.275266906256455e-05
27558673.23119098	6.637759300000001e-36	3.052674169316704e-12	8.88443466191219e-17	2.2752666541832513e-05
27466967.357677743	6.6825154e-36	3.0732572884408568e-12	8.94337337134756e-17	2.2752668383539984e-05
27375573.964028135	6.727573300000002e-36	3.093979203960399e-12	9.002699443118663e-17	2.2752669058901284e-05
27284484.731608327	6.7729348e-36	3.114840743686833e-12	9.062423074241021e-17	2.270886876083382e-05
27193699.649165493	6.8186025e-36	3.1358431033478866e-12	9.122541497453475e-17	2.2708866976336832e-05
27103210.630877748	6.8645781e-36	3.156987064765535e-12	9.183057991278444e-17	2.2697725458642086e-05
27013033.788803097	6.910863700000001e-36	3.178273593719866e-12	9.243975312848377e-17	2.2697726414579475e-05
26923145.04844395	6.957461100000001e-36	3.199703518022381e-12	9.30529903304957e-17	2.2697727582425487e-05
26833560.4280306	7.004372900000002e-36	3.2212780334008094e-12	9.367027660621835e-17	2.2653921952897033e-05
26744271.975170057	7.051601300000001e-36	3.242998151624764e-12	9.429165705067584e-17	2.265391989549176e-05
26655287.508841254	7.099147699999999e-36	3.264864516547637e-12	9.491716741067382e-17	2.2653919870112578e-05
26566591.404367696	7.1470151e-36	3.286878507855269e-12	9.554683019325088e-17	2.2653920303605284e-05
26478191.493068054	7.1952048e-36	3.309040723411522e-12	9.618065949848989e-17	2.2651087067141776e-05
26390087.744148098	7.2437198e-36	3.3313525429022348e-12	9.681870211980038e-17	2.2607288842064557e-05
26302280.107747063	7.292561700000001e-36	3.353814702159855e-12	9.746098508962904e-17	2.2607285430113063e-05
26214760.980018143	7.3417331e-36	3.3764283969121096e-12	9.810750030795863e-17	2.2607286073417283e-05
26127530.4241054	7.3912361e-36	3.3991945929390853e-12	9.875832156730862e-17	2.2596144429764178e-05
26040595.91847923	7.441072799999999e-36	3.4221142560208702e-12	9.941346850456833e-17	2.2596145209197353e-05
25953949.952133175	7.491245500000002e-36	3.4451884439166085e-12	1.000729534592078e-16	2.2552344680525224e-05
25867585.19284966	7.541756400000002e-36	3.4684181683959124e-12	1.0073682305662906e-16	2.255234175206816e-05
25781516.34893021	7.592608e-36	3.4918045791969823e-12	1.0140507834514834e-16	2.2552339207968114e-05
25695728.761296827	7.643802700000002e-36	3.5153487800684907e-12	1.0207777442123145e-16	2.255162326576819e-05
25610229.714212865	7.695342400000001e-36	3.5390516448114665e-12	1.0275493115796899e-16	2.2551619966851305e-05
25525011.992837325	7.747229700000001e-36	3.5629143691536384e-12	1.0343657794437152e-16	2.2507815947507595e-05
25440082.747216515	7.7994666e-36	3.5869378728855644e-12	1.0412276297779132e-16	2.2507818496945195e-05
25355427.771366328	7.852056000000001e-36	3.6111234897035567e-12	1.0481347688770937e-16	2.250781797898329e-05
25271061.226627387	7.9049998e-36	3.6354720934086457e-12	1.0550878096138598e-16	2.2507817832033923e-05
25186976.013547942	7.958300800000002e-36	3.6599849717076155e-12	1.0620871144993663e-16	2.2496677909696697e-05
25103165.200847346	8.011961300000002e-36	3.684663182359607e-12	1.0691325676972503e-16	2.245287439641796e-05
25019635.75031611	8.065983400000001e-36	3.709507691144709e-12	1.0762249670325381e-16	2.245287578903174e-05
24936387.60333426	8.120370000000001e-36	3.7345198317592325e-12	1.0833643468684308e-16	2.2452873847375307e-05
24853413.91071738	8.175123000000002e-36	3.759700478004209e-12	1.0905512374431551e-16	2.2452874994923984e-05
24770714.713886026	8.2302454e-36	3.785051009565475e-12	1.0977855278094137e-16	2.245287443726486e-05
24688290.03543257	8.285739200000001e-36	3.810572346233592e-12	1.1050680805135647e-16	2.2409070437758367e-05
24606146.51827074	8.341607600000002e-36	3.836265959673456e-12	1.1123988026876255e-16	2.2409070993892123e-05
24524270.826470617	8.397852500000001e-36	3.862132723686094e-12	1.1197780862500262e-16	2.2409071993443818e-05
24442663.060301818	8.454476200000001e-36	3.888173696030653e-12	1.1272064615357245e-16	2.2406237412830855e-05
24361336.31546007	8.511482700000001e-36	3.91439071628825e-12	1.134683978450664e-16	2.239509714537049e-05
24280277.46606552	8.568873000000003e-36	3.940784244354165e-12	1.1422111691514151e-16	2.2351293459962988e-05
24199486.556946408	8.6266503e-36	3.967355751893292e-12	1.1497883877465162e-16	2.235129363726807e-05
24118963.61448058	8.684817100000001e-36	3.994106388643831e-12	1.1574157637240283e-16	2.2351293730134386e-05
24038708.646897465	8.743376800000002e-36	4.021037718249732e-12	1.1650937177658862e-16	2.2351292174690444e-05
23958721.644577093	8.802330600000001e-36	4.048150292585331e-12	1.172822505554381e-16	2.235129258354776e-05
23879002.580346163	8.8616827e-36	4.075446043210802e-12	1.1806026938980787e-16	2.2307489705068358e-05
23799545.199041963	8.921433400000001e-36	4.102925108094729e-12	1.188434647813433e-16	2.230749071713963e-05
23720355.732510336	8.981588800000002e-36	4.130590292598319e-12	1.1963182779933098e-16	2.230749044960573e-05
23641427.97335673	9.042148200000002e-36	4.158441274794874e-12	1.2042544229876698e-16	2.2307488348398302e-05
23562761.948413055	9.1031168e-36	4.186480446139848e-12	1.2122432269923199e-16	2.2263686626797473e-05
23484357.666767266	9.164497300000001e-36	4.214709048350499e-12	1.2202847045936715e-16	2.2252546751304987e-05
23406215.12005566	9.226290300000002e-36	4.243127357363992e-12	1.2283798471494007e-16	2.2252546161678522e-05
23328334.2827522	9.288500500000002e-36	4.271737534688143e-12	1.2365286718141423e-16	2.225254635604282e-05
23250709.18487144	9.351130700000001e-36	4.300540868029731e-12	1.2447312873586505e-16	2.2252544548883196e-05
23173345.773761064	9.414182300000001e-36	4.329538001242153e-12	1.252988543749572e-16	2.22087419002835e-05
23096238.124241047	9.477659500000002e-36	4.3587308658855804e-12	1.261300497583818e-16	2.2208743834512747e-05
23019386.260758154	9.541565400000002e-36	4.388120887635381e-12	1.269667489251816e-16	2.2208743805264913e-05
22942790.190447796	9.605900799999999e-36	4.417708434407775e-12	1.278090224985459e-16	2.220874234522944e-05
22866449.90341934	9.670670900000003e-36	4.447495897658224e-12	1.2865686868808655e-16	2.220874175033443e-05
22790365.37303855	9.735877800000003e-36	4.4774842431668084e-12	1.2951033298784827e-16	2.2164939653495445e-05
22714530.898860317	9.8015236e-36	4.507674436713616e-12	1.3036947141391367e-16	2.216493833238156e-05
22638952.154113676	9.8676125e-36	4.538068409858823e-12	1.3123432066338237e-16	2.2150965614690444e-05
22563623.48041913	9.934147400000001e-36	4.5686674962987415e-12	1.3210487672157955e-16	2.2150966211525552e-05
